id,brand,name,price,image_link,description,,category,product_type,tag_list/0,tag_list/1,api_featured_image,product_colors/0/hex_value,product_colors/0/colour_name,product_colors/1/hex_value,product_colors/1/colour_name,product_colors/2/hex_value,product_colors/2/colour_name,product_colors/3/hex_value,product_colors/3/colour_name,product_colors/4/hex_value,product_colors/4/colour_name,product_colors/5/hex_value,product_colors/5/colour_name,product_colors/6/hex_value,product_colors/6/colour_name,product_colors/7/hex_value,product_colors/7/colour_name,product_colors/8/hex_value,product_colors/8/colour_name,product_colors/9/hex_value,product_colors/9/colour_name,product_colors/10/hex_value,product_colors/10/colour_name,product_colors/11/hex_value,product_colors/11/colour_name,product_colors/12/hex_value,product_colors/12/colour_name,product_colors/13/hex_value,product_colors/13/colour_name,product_colors/14/hex_value,product_colors/14/colour_name,product_colors/15/hex_value,product_colors/15/colour_name,product_colors/16/hex_value,product_colors/16/colour_name,product_colors/17/hex_value,product_colors/17/colour_name,product_colors/18/hex_value,product_colors/18/colour_name,product_colors/19/hex_value,product_colors/19/colour_name,product_colors/20/hex_value,product_colors/20/colour_name,product_colors/21/hex_value,product_colors/21/colour_name,product_colors/22/hex_value,product_colors/22/colour_name,product_colors/23/hex_value,product_colors/23/colour_name,product_colors/24/hex_value,product_colors/24/colour_name,product_colors/25/hex_value,product_colors/25/colour_name,product_colors/26/hex_value,product_colors/26/colour_name,product_colors/27/hex_value,product_colors/27/colour_name,product_colors/28/hex_value,product_colors/28/colour_name,product_colors/29/hex_value,product_colors/29/colour_name,product_colors/30/hex_value,product_colors/30/colour_name,product_colors/31/hex_value,product_colors/31/colour_name,product_colors/32/hex_value,product_colors/32/colour_name,product_colors/33/hex_value,product_colors/33/colour_name,product_colors/34/hex_value,product_colors/34/colour_name,product_colors/35/hex_value,product_colors/35/colour_name,product_colors/36/hex_value,product_colors/36/colour_name,product_colors/37/hex_value,product_colors/37/colour_name,product_colors/38/hex_value,product_colors/38/colour_name,product_colors/39/hex_value,product_colors/39/colour_name,product_colors/40/hex_value,product_colors/40/colour_name,product_colors/41/hex_value,product_colors/41/colour_name,product_colors/42/hex_value,product_colors/42/colour_name,product_colors/43/hex_value,product_colors/43/colour_name,product_colors/44/hex_value,product_colors/44/colour_name,product_colors/45/hex_value,product_colors/45/colour_name,tag_list/2,tag_list/3,tag_list/4,tag_list/5,tag_list/6,product_colors/46/hex_value,product_colors/46/colour_name,product_colors/47/hex_value,product_colors/47/colour_name,product_colors/48/hex_value,product_colors/48/colour_name,product_colors/49/hex_value,product_colors/49/colour_name,product_colors/50/hex_value,product_colors/50/colour_name,product_colors/51/hex_value,product_colors/51/colour_name,product_colors/52/hex_value,product_colors/52/colour_name,product_colors/53/hex_value,product_colors/53/colour_name,product_colors/54/hex_value,product_colors/54/colour_name,product_colors/55/hex_value,product_colors/55/colour_name,product_colors/56/hex_value,product_colors/56/colour_name,product_colors/57/hex_value,product_colors/57/colour_name,product_colors/58/hex_value,product_colors/58/colour_name,product_colors/59/hex_value,product_colors/59/colour_name,product_colors/60/hex_value,product_colors/60/colour_name,product_colors/61/hex_value,product_colors/61/colour_name,product_colors/62/hex_value,product_colors/62/colour_name,product_colors/63/hex_value,product_colors/63/colour_name,product_colors/64/hex_value,product_colors/64/colour_name,product_colors/65/hex_value,product_colors/65/colour_name,product_colors/66/hex_value,product_colors/66/colour_name,product_colors/67/hex_value,product_colors/67/colour_name,product_colors/68/hex_value,product_colors/68/colour_name,product_colors/69/hex_value,product_colors/69/colour_name,product_colors/70/hex_value,product_colors/70/colour_name,product_colors/71/hex_value,product_colors/71/colour_name,product_colors/72/hex_value,product_colors/72/colour_name,product_colors/73/hex_value,product_colors/73/colour_name,product_colors/74/hex_value,product_colors/74/colour_name,product_colors/75/hex_value,product_colors/75/colour_name,product_colors/76/hex_value,product_colors/76/colour_name,product_colors/77/hex_value,product_colors/77/colour_name,product_colors/78/hex_value,product_colors/78/colour_name,product_colors/79/hex_value,product_colors/79/colour_name,product_colors/80/hex_value,product_colors/80/colour_name,product_colors/81/hex_value,product_colors/81/colour_name,product_colors/82/hex_value,product_colors/82/colour_name,product_colors/83/hex_value,product_colors/83/colour_name,product_colors/84/hex_value,product_colors/84/colour_name,product_colors/85/hex_value,product_colors/85/colour_name,product_colors/86/hex_value,product_colors/86/colour_name,product_colors/87/hex_value,product_colors/87/colour_name,product_colors/88/hex_value,product_colors/88/colour_name,product_colors/89/hex_value,product_colors/89/colour_name,product_colors/90/hex_value,product_colors/90/colour_name,product_colors/91/hex_value,product_colors/91/colour_name,product_colors/92/hex_value,product_colors/92/colour_name,product_colors/93/hex_value,product_colors/93/colour_name,product_colors/94/hex_value,product_colors/94/colour_name,product_colors/95/hex_value,product_colors/95/colour_name,product_colors/96/hex_value,product_colors/96/colour_name,product_colors/97/hex_value,product_colors/97/colour_name,product_colors/98/hex_value,product_colors/98/colour_name,product_colors/99/hex_value,product_colors/99/colour_name,product_colors/100/hex_value,product_colors/100/colour_name,product_colors/101/hex_value,product_colors/101/colour_name,product_colors/102/hex_value,product_colors/102/colour_name,product_colors/103/hex_value,product_colors/103/colour_name,product_colors/104/hex_value,product_colors/104/colour_name,product_colors/105/hex_value,product_colors/105/colour_name,product_colors/106/hex_value,product_colors/106/colour_name,product_colors/107/hex_value,product_colors/107/colour_name,product_colors/108/hex_value,product_colors/108/colour_name,product_colors/109/hex_value,product_colors/109/colour_name,product_colors/110/hex_value,product_colors/110/colour_name,product_colors/111/hex_value,product_colors/111/colour_name,product_colors/112/hex_value,product_colors/112/colour_name,product_colors/113/hex_value,product_colors/113/colour_name,product_colors/114/hex_value,product_colors/114/colour_name,product_colors/115/hex_value,product_colors/115/colour_name,product_colors/116/hex_value,product_colors/116/colour_name,product_colors/117/hex_value,product_colors/117/colour_name,product_colors/118/hex_value,product_colors/118/colour_name,product_colors/119/hex_value,product_colors/119/colour_name,tag_list/7
1048,colourpop,Lippie Pencil,5,https://cdn.shopify.com/s/files/1/1338/0845/collections/lippie-pencil_grande.jpg?v=1512588769,"Lippie Pencil A long-wearing and high-intensity lip pencil that glides on easily and prevents feathering. Many of our Lippie Stix have a coordinating Lippie Pencil designed to compliment it perfectly, but feel free to mix and match!",,pencil,lip_liner,Vegan,cruelty free,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/048/original/open-uri20180708-4-13okqci?1531093614,#AB7164,BFF Pencil 2,#DFAC9B,Toy Pencil,#542328,Ellarie Pencil,#B0516F,I Heart This Pencil,#B5716A,Brink Pencil,#242225,Bull Chic Pencil,#5C3357,Leather Pencil,#653E44,Dukes Pencil,#93283C,Bichette Pencil,#702E2D,Poison Pencil,#8C4A47,Love Bug Pencil,#762F50,LBB Pencil,#714B41,Pitch Pencil,#361927,Mamacita Pencil,#4D2D28,Toolips Pencil,#6D414B,Dopey Pencil,#914B4C,Wild Nothing Pencil,#AF4051,Bossy Pencil,#C23D3C,Frenchie Pencil,#A33C37,Clique Pencil,#DA6952,Chi Chi Pencil,#CE435D,Trixie Pencil,#BF2C7E,Heart On Pencil,#965564,Contempo Pencil,#743A6A,Are N Be Pencil,#C095BC,Brills Pencil,#5F2820,BFF Pencil 3,#8E474D,Bumble Pencil,#865B69,Lumiere Pencil,#975348,Curvii Pencil,#8F5954,Oh Snap Pencil,#966A60,Beeper Pencil,#A36B5E,951 Pencil,#B28378,BFF Pencil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,colourpop,Blotted Lip,5.5,https://cdn.shopify.com/s/files/1/1338/0845/products/brain-freeze_a_800x1200.jpg?v=1502255076,"Blotted Lip Sheer matte lipstick that creates the perfect popsicle pout! Formula is lightweight, matte and buildable for light to medium coverage.",,lipstick,lipstick,Vegan,cruelty free,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/047/original/open-uri20180708-4-e7idod?1531087336,#7C3F35,Candyfloss,#452222,Lolly,#904550,Ice Cube,#A12A33,On a Stick,#8E4140,Drip,#BB656B,Brain Freeze,#b72227,Bee's Knees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,colourpop,Lippie Stix,5.5,https://cdn.shopify.com/s/files/1/1338/0845/collections/blottedlip-lippie-stix_grande.jpg?v=1512588803,"Lippie Stix Formula contains Vitamin E, Mango, Avocado, and Shea butter for added comfort and moisture. None of our Lippie formulas contain any nasty ingredients like Parabens or Sulfates.",,lipstick,lipstick,Vegan,cruelty free,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/046/original/open-uri20180708-4-1f333k1?1531086651,#975450,Kapish,#763A31,Taurus,#A05F6A,Lumiere,#AB223E,Poppin',#CB2931,Trust Me,#DC4A3C,Chi Chi,#C5282D,Bossy,#864740,Grunge,#623343,LBB,#621F20,Poison,#AB3E61,"Mirror, Mirror",#D12C35,Frenchie,#5C4761,Leather,#442A26,Pitch,#AA4E79,Persuasion,#AF7564,Cookie,#8F6557,Tootsi,#C5314F,I Heart this Lippie,#B82485,Heart on,#C08586,Contempo,#EA5151,Lullaby,#B75E59,Topanga,#B86A82,Sauce,#852528,Bichette,#B67367,Parker,#762554,Party Foul,#CF8D98,Bound,#BC6E6B,Faded,#C08892,Oh Snap,#C17773,Daydream,#5D2318,Ellarie,#A3595E,Candy Paint,#C07D6B,Ink Blot,#D68B99,Little Tings,#BA7378,After Shock,#B97271,Goal Digger,#9A2B24,Fly-Fi,#E28474,Sike,#AA6968,Cami,#C68176,Brink,#9E574D,Aquarius,#94372D,Who Run this,#BF3A30,Love Life,#723739,Goldie,#793C36,Ziggie,#F2DEC3,Fair 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,colourpop,No Filter Foundation,12,https://cdn.shopify.com/s/files/1/1338/0845/products/foundations-lineup_800x1200.jpg?v=1528927785,"Developed for the Selfie Age, our buildable full coverage, natural matte foundation delivers flawless looking skin from day-to-night. The oil-free, lightweight formula blends smoothly and is easily customizable to create the coverage you want. Build it up or sheer it out, it was developed with innovative soft-blurring pigments to deliver true color while looking and feeling natural. The lockable pump is easy to use and keeps your routine mess-free! As always, 100% cruelty-free and vegan.",,liquid,foundation,Vegan,cruelty free,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/045/original/open-uri20180708-4-4bvqii?1531074237,#6B5148,Deep Dark 80,#795F52,Deep Dark 80,#896A5A,Deep Dark 80,#865F4D,Deep Dark 115,#946D5A,Deep Dark 115,#A07967,Deep Dark 115,#AC8875,Deep Dark 115,#B38A79,Dark 180,#B6927D,Dark 175,#B99078,Dark 170,#C39981,Dark 165,#B99179,Dark 160,#C29879,Dark 155,#C69B83,Dark 150,#BF8E63,Medium Dark 145,#D1AA90,Medium Dark 140,#D9B191,Medium Dark 135,#D9B498,Medium Dark 130,#C69676,Medium Dark 125,#D7B59A,Medium Dark 120,#DCBFA5,Medium Dark 115,#D4B194,Medium 110,#D7B297,Medium 105,#E2C2A1,Medium 100,#D3A784,Medium 95,#E5C6A8,Medium 90,#E4C1A9,Medium 85,#E0C1A1,Medium 80,#E0B492,Light 75,#E4C096,Light 70,#E1B68E,Light 65,#E9C2A4,Light 60,#E8C3A6,Light 55,#E8C2A4,Light 50,#CAA17B,Light 45,#D9B295,Fair 35,#EDD0B4,Fair 30,#F1D7B3,Fair 25,#EFD2BA,Fair 20,#F1D9C0,Fair 15,#F3DAC4,Fair 10,#F2DEC3,Fair 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,boosh,Lipstick,26,https://cdn.shopify.com/s/files/1/1016/3243/products/LIPBALM_LID_grande.jpg?v=1496848378,"All of our products are free from lead and heavy metals, parabens, phthalates, artificial colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent.",,lipstick,lipstick,Organic,Chemical Free,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/044/original/data?1531071233,#9D3F47,Ruby,#C79289,Nova,#8F6065,Luna,#F8D7D6,Lip Plumping Balm,#C86775,Leah,#8D5C58,Kylie,#BB8A88,Dusty rose,#BC88A5,Emmy,#875672,Brie,#573F53,Kat,#AF2257,Dahlia,#C6727C,Ellie,#B37072,Rosie,#B6636F,Bobbie,#CB4975,Babs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,deciem,Serum Foundation,6.7,https://3bc01d2807fb1bc0d25c-a86d2521f1af8989841b9619f5314be5.ssl.cf1.rackcdn.com/products/market-img/rdn-serum-foundation-30-r-30ml.png?v=6ab9fcb8ca2abb9828afcf9dcdad9f94,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades. These foundations offer moderate coverage that looks natural with a very lightweight serum feel. They are very low in viscosity and are dispensed with the supplied pump or with the optional glass dropper available for purchase separately if preferred. ,,liquid,foundation,Gluten Free,Vegan,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/043/original/open-uri20180706-4-nszgw9?1530919194,#664A37,3.3N,#8E6346,3.2R,#916C4F,3.2N,#c28651,3.1Y,#b3754a,3.1R,#d19e61,3.0Y,#d59c62,3.0R,#dcad6d,2.1Y,#ddb279,2.1P,#dcc399,2.0YG,#e5cb9f,2.0N,#e3be8e,2.0P,#e6c796,1.2YG,#e6c796,1.2Y,#e5c5a1,1.2P,#f0d5af,1.2N,#efdbba,1.1N,#f2d7ba,1.1P,#f3e8d1,1.0NS,#f3e8d1,1.0N,#f4e5d6,1.0P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silicone free,oil free,alcohol free,cruelty free,water free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,deciem,Coverage Foundation,6.9,https://3bc01d2807fb1bc0d25c-a86d2521f1af8989841b9619f5314be5.ssl.cf1.rackcdn.com/products/market-img/rdn-coverage-foundation-33-n-30ml.png?v=daa322f179d80e450613c75826602292,"Coverage Foundations are full-coverage formulations available in a comprehensive shade range across 21 shades. These foundations contain higher pigment levels than our Serum Foundations but still offer a smooth finish that avoids the heavy makeup look that can make skin appear more aged. The texture is that of a lightweight, non-oily cream.",,liquid,foundation,Gluten Free,Vegan,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/042/original/open-uri20180706-4-1e74943?1530916234,#664A37,3.3N,#8E6346,3.2R,#916C4F,3.2N,#c28651,3.1Y,#b3754a,3.1R,#d19e61,3.0Y,#d59c62,3.0R,#dcad6d,2.1Y,#ddb279,2.1P,#dcc399,2.0YG,#e5cb9f,2.0N,#e3be8e,2.0P,#e6c796,1.2YG,#e6c796,1.2Y,#e5c5a1,1.2P,#f0d5af,1.2N,#efdbba,1.1N,#f2d7ba,1.1P,#f3e8d1,1.0NS,#f3e8d1,1.0N,#f4e5d6,1.0P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silicone free,oil free,alcohol free,cruelty free,water free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,zorah biocosmetiques,Liquid Liner,0,https://www.purpicks.com/wp-content/uploads/2018/06/Zorah-Biocosmetiques-Liquid-Liner.png,"<strong>12 hours of long-lasting</strong> intense color, transfer-free (leaves no trace on crease above the eyelid) <strong>Pure Light Capture®</strong> <strong>minerals</strong> deliver color and radiance. Silky lines and refreshingly light, Pure Argan eyeliner leaves a weightless feel on the eyelids.<p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>98% of the total ingredients are from natural origin 5% of total ingredients are from organic farming",,liquid,eyeliner,EcoCert,purpicks,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/041/original/open-uri20180630-4-1huiv9y?1530390387,#000000,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,zorah biocosmetiques,Eyeshadow,0,https://www.purpicks.com/wp-content/uploads/2018/02/Ombre-Amazonie-CC.png,"<strong>Product Description</strong>Anti-aging formula made with organic Pure Argan oil and Pure Light Capture<sup>®</sup> pigments. 24 Hour crease-free intensity (no build-up increase of eyelid), no running. Pure Light Capture® pigments deliver color and luminosity. Silky and refreshingly light feel, Pure Argan eyeshadow is weightless on the eyelids. Pure Argan eyeshadow <strong>soothes</strong>, <strong>hides redness </strong>and <strong>slows the appearance of the signs of aging on the skin.</strong><p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>100% of the total ingredients are from natural origin5% of total ingredients are from organic farming",,,eyeshadow,EcoCert,purpicks,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/040/original/open-uri20180630-4-1afkyee?1530390386,#444446,Casablanca,#6B7475,Evrest,#966A54,Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,w3llpeople, Realist Invisible Setting Powder,0,https://www.purpicks.com/wp-content/uploads/2018/06/w3llpeople-Realist-Invisible-Setting-Powder.jpg,"<span style=""font-weight: 400;"">Keep it real with a polished, soft-focus look using this superfine, loose mineral powder. The healing properties of organic aloe help soothe and calm stressed out skin. Instantly minimize pores, soften imperfections, and creates a matte finish with superfine powder. Use by itself for an air-brushed look, or to set foundation for ultra-long wear.</span><span style=""font-weight: 400;"">* Set makeup or by itself for matte air-brushed effect</span><span style=""font-weight: 400;"">* Absorbs excess oil while softening fine lines</span><span style=""font-weight: 400;"">* Organic aloe creates radiant, rejuvenated skin</span><span style=""font-weight: 400;"">* Hypoallergenic, Chemical Free, Cruelty Free &amp; Noncomedogenic </span><span style=""font-weight: 400;"">* EWG Verified for non-toxic health and safety</span><span style=""font-weight: 400;"">* Free From: Parabens, Gluten, GMO, Phthalates, Sulfates, Fragrance, Pheonoxyethanol, Dimethicone, PEG, Propylene Glycol, Butylene Glycol, Lead, Mineral Oil, Talc</span>",,powder,foundation,Gluten Free,EWG Verified,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/039/original/open-uri20180630-4-rfmkzd?1530390386,#E8E6E7,Translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purpicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
